Model,Train R2,Validation R2,Test R2,Train RMSE,Validation RMSE,Test RMSE,Train MAE,Validation MAE,Test MAE,R2_Gap
Linear Regression,0.9818345139234862,0.982107088066256,0.9843269712114283,1695.3032059327513,1730.0058274425523,1651.0939848881617,838.6538331815925,854.1288146582376,822.2230325367985,-0.002492457287942118
Decision Tree,0.9999875469690868,0.9999870730054315,0.9999872342810912,44.38757352971031,46.50030880268803,47.121376474687274,30.952835253129585,31.91555189893044,31.917545182624988,3.126879956072415e-07
Random Forest,0.9999987784085416,0.9999985181100314,0.9999984819806551,13.902306701754735,15.74399825339857,16.249274772078806,8.10830180065384,8.569764041365337,8.70800740367219,2.9642788645922735e-07
